# SentiWordNet users' feedback
# Release: 13 May 2013
# More information and contact: http://sentiwordnet.isti.cnr.it/
# License: http://creativecommons.org/licenses/by-sa/4.0/
#
# count	synsetId	synsetPOS	swnPositivity	swnNegativity	feedbackPositivity	feedbackNegativity	date	IPanon	IPcountry	list(word#sense)
735	12091377	n	0	0	0	0	2011-08-31	IP271	AU	primula_veris#1 paigle#2 cowslip#1
736	2401809	v	0	0	0	0	2011-08-31	IP271	AU	throw_out#3 oust#1 kick_out#2 expel#2 drum_out#1 boot_out#1
737	1992935	n	0	0	0.75	0.125	2011-09-01	IP272	CN	orchestiidae#1 family_orchestiidae#1
738	981830	n	0	0	0.75	0.125	2011-09-01	IP272	CN	intelligence_operation#1 intelligence_activity#1 intelligence#5
739	14428655	n	0.75	0	0.75	0	2011-09-01	IP273	AU	biosafety_level_1#1
740	1323958	v	0	0.5	0	0.5	2011-09-08	IP274	DE	kill#1
741	255214	n	0	0	0	0	2011-09-08	IP275	xx	washup#1 bathing#2
742	3420801	n	0	0	0	0	2011-09-12	IP276	xx	overseas_cap#1 garrison_cap#1
743	12156484	n	0	0	0	0	2011-09-12	IP276	xx	sparganium#1 genus_sparganium#1
744	5449959	n	0	0	0	0	2011-09-12	IP276	xx	white_corpuscle#1 white_cell#1 white_blood_corpuscle#1 white_blood_cell#1 wbc#1 leukocyte#1 leucocyte#1
745	3512452	n	0	0	0	0	2011-09-12	IP276	xx	heliograph#1
746	2545023	a	0	0.5	0	0.5	2011-09-13	IP277	CN	funny#4
747	119993	a	0.875	0	0.875	0	2011-09-14	IP278	CO	perked_up#1
748	5058893	n	0	0	0	0	2011-09-14	IP278	CO	beat#8
749	688377	v	0.375	0	0.375	0	2011-09-14	IP278	CO	trust#1 swear#5 rely#1 bank#8
750	2343517	a	0.875	0	0.875	0	2011-09-14	IP278	CO	superlative#1 sterling#1 greatest#1
751	316318	r	0	0.375	0.25	0	2011-09-14	IP278	CO	disloyally#1
752	4281571	n	0	0	0	0	2011-09-14	IP279	AU	splasher#1
753	12680125	n	0	0	1	0	2011-09-14	IP280	xx	viburnum#1 genus_viburnum#1
754	777891	a	0	0	0	0	2011-09-19	IP281	BR	spendable#1 expendable#2
755	2674708	v	0.625	0	0.625	0	2011-09-20	IP282	IN	make#14
756	2897730	a	0	0	1	0	2011-09-22	IP283	QA	anatomical#2 anatomic#2
757	2109326	a	0	0.125	0.5	0.125	2011-09-22	IP284	SI	telepathic#1
758	14973303	n	0	0	0.5	0	2011-09-22	IP284	SI	palmitic_acid#1 hexadecanoic_acid#1
759	920727	n	0	0	0.5	0	2011-09-22	IP284	SI	starter#7
760	664788	v	0.5	0	0.5	0	2011-09-22	IP284	SI	show#2 shew#1 prove#2 establish#3 demonstrate#2
761	14876318	n	0	0	0.5	0	2011-09-22	IP284	SI	furfuran#1 furane#1 furan#1
762	2801156	a	0	0.25	0.25	0.25	2011-09-22	IP284	SI	splenic#1 splenetic#1 lienal#1
763	355524	v	0.25	0.75	0.25	0.75	2011-09-22	IP92	GB	kill#13
764	2257536	n	0	0	0.125	0.375	2011-09-23	IP285	xx	family_cercopidae#1 cercopidae#1
765	9815188	n	0	0.625	0	0.625	2011-09-23	IP285	xx	whoreson#2 son_of_a_bitch#1 sob#2 shit#5 prick#1 motherfucker#1 mother_fucker#1 dickhead#1 cocksucker#2 bastard#1 asshole#1
766	1305344	a	0	0	0.125	0.125	2011-09-23	IP285	xx	telltale#1 telling#1 revealing#1
767	9572113	n	0	0	0.125	0	2011-09-23	IP285	xx	aurora#3
768	3667552	n	0	0	0	0.25	2011-09-23	IP285	xx	light_machine_gun#1
769	5391763	n	0	0	0	0	2011-09-23	IP285	xx	ventricle#2 heart_ventricle#1
770	6082610	n	0	0	0	0	2011-09-23	IP285	xx	myology#1
771	27384	r	0.125	0.5	0.125	0.5	2011-09-23	IP285	xx	yet#6 withal#1 still#2 notwithstanding#1 nonetheless#1 nevertheless#1 however#1 even_so#1 all_the_same#1
772	104942	a	0.375	0.25	0.375	0.25	2011-09-25	IP286	GB	overambitious#1
773	14641046	n	0	0	0	0	2011-09-25	IP286	GB	heavy_hydrogen#1 deuterium#1
774	3122750	a	0	0	0	0	2011-09-25	IP286	GB	tamil#1
775	512522	n	0.625	0	0.625	0	2011-09-25	IP286	GB	toying#1 flirting#1 flirtation#1 flirt#2 dalliance#2 coquetry#1
776	2102318	n	0	0	0	0	2011-09-25	IP286	GB	english_cocker_spaniel#1 cocker_spaniel#1 cocker#1
777	12460549	n	0	0	0	0	2011-09-25	IP286	GB	muscari#1 genus_muscari#1
778	14576690	n	0	0	0	0	2011-09-25	IP286	GB	hypertonicity#1
779	10860444	n	0	0	0	0	2011-09-28	IP287	CN	ray_douglas_bradbury#1 ray_bradbury#1 bradbury#1
780	1936184	a	0	0.25	0.25	0	2011-09-28	IP288	IT	mythological#1 mythologic#1 mythical#1 mythic#2 fabulous#2
781	14650807	n	0	0	0	0	2011-09-28	IP289	xx	potassium#1 k#2 atomic_number_19#1
782	10261977	n	0	0.125	0	0.125	2011-09-28	IP289	xx	light_middleweight#1
783	553899	a	0	0.625	0	0.625	2011-09-28	IP289	xx	discordant#1
784	13501548	n	0	0	0.125	0	2011-09-28	IP290	xx	swelling#3 intumescency#2 intumescence#2
785	15162388	n	0	0	0.75	0	2011-09-28	IP289	xx	festival#1
786	1704626	n	0	0	0	0	2011-09-29	IP291	TH	styracosaurus#1 styracosaur#1
787	378892	a	0	0	1	0	2011-09-30	IP292	xx	orangish#1 orange#1
788	7747607	n	0	0	0.5	0.5	2011-09-30	IP292	xx	orange#1
789	4965179	n	0	0	0.75	0.25	2011-09-30	IP292	xx	orangeness#1 orange#2
790	12708293	n	0	0	0.875	0.125	2011-09-30	IP292	xx	orange_tree#1 orange#3
791	14991210	n	0	0	0.5	0.125	2011-09-30	IP292	xx	orange#4
792	9379705	n	0	0	1	0	2011-09-30	IP292	xx	orange_river#1 orange#5
793	15120823	n	0	0	0	0	2011-09-30	IP293	IN	yesteryear#1 past_times#1 past#1
794	2101580	a	1	0	1	0	2011-10-03	IP294	GB	sensational#1
795	4655442	n	0.5	0	0.5	0	2011-10-03	IP295	IN	intimacy#1 familiarity#3 closeness#6
796	3897634	n	0	0	0.625	0	2011-10-04	IP296	KR	pastry_cart#1
797	2700767	n	0	0	0	0	2011-10-04	IP296	KR	tin_foil#2 aluminum_foil#1 aluminium_foil#1
798	2700767	n	0	0	0	0	2011-10-04	IP296	KR	tin_foil#2 aluminum_foil#1 aluminium_foil#1
799	2409849	a	0	0	0	0	2011-10-04	IP296	KR	thermoplastic#1
800	4846383	n	0.25	0.625	0.25	0.625	2011-10-04	IP296	KR	bluntness#1
801	4594919	n	0	0	0	0	2011-10-04	IP296	KR	wire_gauge#1 wire_gage#1
802	15120528	n	0.375	0	0.5	0	2011-10-04	IP296	KR	present_times#1 modern_world#1 modern_times#1 contemporary_world#1
803	1171076	a	0.875	0	0.875	0	2011-10-04	IP296	KR	firm#8
804	14756039	n	0	0	0	0	2011-10-04	IP296	KR	animal_pigment#1
805	12249294	n	0	0	0	0	2011-10-04	IP296	KR	vaccinium_stamineum#1 squaw_huckleberry#1 deerberry#1
806	51170	v	0	0	0	0.125	2011-10-04	IP296	KR	slip_on#1
807	2816768	n	0	0	0	0	2011-10-04	IP296	KR	beany#1 beanie#1
808	1603152	n	0	0	0	0	2011-10-04	IP296	KR	vireo_solitarius_solitarius#1 blue-headed_vireo#1
809	12139921	n	0	0	0	0	2011-10-04	IP296	KR	spartina_pectinmata#1 slough_grass#1 prairie_cordgrass#1 freshwater_cordgrass#1
810	155143	v	0.375	0	0.375	0	2011-10-04	IP296	KR	rise#2 go_up#2 climb#6
811	54628	v	0	0	0	0	2011-10-04	IP296	KR	sire#1 mother#2 get#36 generate#4 father#1 engender#2 bring_forth#4 beget#1
812	2101861	n	0	0	0	0	2011-10-04	IP296	KR	springer_spaniel#1 springer#3
813	7733217	n	0	0	0	0	2011-10-04	IP296	KR	dandelion_green#2
814	13315191	n	0	0	0	0	2011-10-04	IP296	KR	stamp_tax#1 stamp_duty#1
815	1481282	a	0	0.625	0	0.625	2011-10-04	IP296	KR	unstarred#1 unasterisked#1
816	5379438	n	0	0	0	0	2011-10-04	IP296	KR	vena_retromandibularis#1 retromandibular_vein#1 posterior_facial_vein#1
817	2436224	n	0	0	0	0	2011-10-04	IP296	KR	tragulus_kanchil#1 kanchil#1
818	8057633	n	0	0	0	0	2011-10-04	IP296	KR	common_carrier#1 carrier#5
819	14699321	n	0	0	0	0	2011-10-04	IP296	KR	pit_run#1 pit-run_gravel#1 bank_gravel#1
820	231963	a	0.5	0	0.5	0	2011-10-04	IP296	KR	healthier#1 fitter#1
821	2713992	n	0	0	0	0	2011-10-04	IP296	KR	roundel#3 annulet#1
822	5393813	n	0	0	0	0	2011-10-04	IP296	KR	mitral_valve#1 left_atrioventricular_valve#1 bicuspid_valve#1
823	10334255	n	0	0	0	0	2011-10-04	IP296	KR	motorman#1
824	486130	n	0	0	0	0	2011-10-04	IP296	KR	leapfrog#1
825	9252078	n	0	0	0	0	2011-10-04	IP296	KR	zaire_river#1 congo_river#1 congo#2
826	9620794	n	0	0	0.125	0	2011-10-04	IP296	KR	native#1 indigene#1 indigen#1 aborigine#1 aboriginal#2
827	280042	r	0	0	0	0	2011-10-04	IP296	KR	broadwise#1 breadthwise#1 breadthways#1
828	13219258	n	0	0	0	0	2011-10-04	IP296	KR	genus_equisetum#1 equisetum#1
829	12213197	n	0	0	0	0	2011-10-04	IP296	KR	umbellales#1 order_umbellales#1
830	4396808	n	0	0	0	0	2011-10-04	IP296	KR	tea_bag#2
831	643598	a	0.5	0	0.5	0	2011-10-04	IP296	KR	notional#3 fanciful#1
832	15152062	n	0.125	0	0.125	0	2011-10-04	IP296	KR	majority#3 legal_age#1
833	361932	n	0	0	0	0	2011-10-04	IP296	KR	deflation#3
834	361932	n	0	0	0	0	2011-10-04	IP296	KR	deflation#3
835	361932	n	0	0	0	0	2011-10-04	IP296	KR	deflation#3
836	361932	n	0	0	0	0	2011-10-04	IP296	KR	deflation#3
837	361932	n	0	0	0	0	2011-10-04	IP296	KR	deflation#3
838	361932	n	0	0	0	0	2011-10-04	IP296	KR	deflation#3
839	1123148	a	0.75	0	0.875	0	2011-10-05	IP297	IN	good#1
840	506207	n	0	0	0	0	2011-10-06	IP298	xx	tit-tat-toe#1 ticktacktoo#1 ticktacktoe#1 tick-tack-toe#1 tic-tac-toe#1 noughts_and_crosses#1
841	56340	r	0	0.75	0	0.75	2011-10-07	IP299	xx	horribly#1 dreadfully#1 awfully#2
842	55101	r	0	0.75	0	0.75	2011-10-07	IP299	xx	terribly#2 rottenly#1 awfully#3 atrociously#1 abysmally#1 abominably#2
843	7576438	n	0	0	0.625	0.375	2011-10-09	IP300	xx	picnic#3
844	374277	r	0	0.125	0.125	0	2011-10-11	IP301	CL	uninstructively#1 uninformatively#1
845	1330307	a	0	0	0	0.125	2011-10-12	IP302	xx	sorbed#1 occluded#2
846	4056073	n	0	0	0.375	0.375	2011-10-12	IP303	CN	rat-tail_file#1
847	2502163	a	0	0.5	0	0.5	2011-10-12	IP304	xx	worthless#1
848	2527651	v	0	0.75	0	0.25	2011-10-12	IP304	xx	spoil#1 screw_up#2 muff#2 muck_up#1 mishandle#1 mess_up#1 louse_up#1 fumble#4 fuck_up#1 foul_up#1 fluff#1 flub#1 bungle#1 bumble#1 botch_up#1 botch#1 bollocks_up#1 bollocks#1 bollix_up#1 bollix#1 bodge#1 bobble#1 blow#7 ball_up#1
849	8249608	n	0	0	0	0	2011-10-16	IP305	KR	jug_band#1
850	5565064	n	0	0	0	0	2011-10-18	IP306	xx	fist#1 clenched_fist#1
851	6932803	n	0	0	0	0	2011-10-18	IP306	xx	hani#1 akha#1
852	6932803	n	0	0	0	0	2011-10-18	IP306	xx	hani#1 akha#1
853	1382086	a	0.25	0.125	0.5	0.5	2011-10-18	IP305	KR	large#1 big#1
854	3939844	n	0	0	0	0	2011-10-18	IP307	DK	pilot_light#2 pilot_lamp#1 indicator_lamp#1
855	2765965	a	0	0	0	0	2011-10-18	IP307	DK	monotypic#1
856	13887509	n	0	0	0	0	2011-10-18	IP307	DK	angle#1
857	2750166	a	0	0	0	0	2011-10-18	IP307	DK	intracranial#1
858	839526	v	0	0.875	0	0.875	2011-10-18	IP307	DK	talk_through_one&#039;s_hat#1 fake#3 bullshit#1 bull#3
859	10951697	n	0	0	0	0	2011-10-19	IP308	xx	edward_viii#1 edward#1 duke_of_windsor#1
860	2164402	a	0.375	0.5	0.625	0.125	2011-10-19	IP309	xx	unimportant#2 insignificant#4
861	10987358	n	0	0	0.625	0	2011-10-19	IP309	xx	john_kenneth_galbraith#1 john_galbraith#1 galbraith#1
862	437576	r	0.25	0	0.25	0	2011-10-19	IP309	xx	unquestionably#1 unimpeachably#1
863	3825442	n	0	0	0.75	0	2011-10-19	IP309	xx	skittle_ball#1 ninepin_ball#1
864	8722645	n	0	0	0.375	0.125	2011-10-19	IP310	MT	cape_horn#1
865	4534651	n	0	0	0	0	2011-10-20	IP311	CO	viewer#2
866	662182	v	0	0	0	0	2011-10-20	IP311	CO	tick_off#1 tick#4 mark_off#2 mark#13 check_off#1 check#6
867	7697100	n	0	0	0	0	2011-10-20	IP311	CO	hamburger#1 burger#2 beefburger#1
868	1470670	v	0	0	0	0	2011-10-20	IP311	CO	see#15
869	705336	a	0.875	0.125	0.875	0.125	2011-10-20	IP312	xx	gladdened#1 exhilarated#1
870	2553002	v	0	0	0	0	2011-10-20	IP312	xx	defibrillate#1
871	6713187	n	0	0.75	0	0.75	2011-10-20	IP312	xx	upbraiding#1 going-over#2 earful#2 dressing_down#1 chewing_out#1 castigation#1 bawling_out#1
872	1808447	n	0	0	0	0	2011-10-20	IP313	IT	oreortyx#1 genus_oreortyx#1
873	5410315	n	0	0	0	0	2011-10-20	IP313	IT	gonadotropin#1 gonadotropic_hormone#1 gonadotrophin#1 gonadotrophic_hormone#1
874	7830841	n	0	0	0	0	2011-10-20	IP313	IT	sauce_albert#1 horseradish_sauce#1
875	3027797	n	0	0	0	0	2011-10-20	IP313	IT	chum#2
876	86000	r	0	0	0	0	2011-10-20	IP313	IT	fast#1
877	1351922	a	0	0.25	0	0.25	2011-10-20	IP313	IT	ambiversive#1
878	5422668	n	0	0	0	0	2011-10-20	IP313	IT	vena_cava#1
879	2296150	n	0	0	0	0.5	2011-10-21	IP314	xx	genus_cerapteryx#1 cerapteryx#1
880	2145754	a	0.125	0	0.125	0	2011-10-22	IP315	xx	botuliform#1
881	4116389	n	0	0	0	0	2011-10-22	IP315	xx	rubber_bullet#1
882	1698152	v	0	0	0.125	0	2011-10-22	IP315	xx	sloganeer#1
883	1497878	n	0	0	0	0	2011-10-22	IP315	xx	family_dasyatidae#1 dasyatidae#1
884	10510974	n	0	0	0	0	2011-10-24	IP316	CN	receiver#5
885	3407122	n	0	0	0	0	2011-10-24	IP316	CN	priming#2 primer#2 fuzee#3 fuze#1 fusee#4 fuse#2
886	1123148	a	0.75	0	1	0	2011-10-24	IP316	CN	good#1
887	106020	a	0	0	0	0	2011-10-24	IP316	CN	good#2 full#6
888	1123148	a	0.75	0	1	0	2011-10-24	IP316	CN	good#1
889	106020	a	0	0	0	0	2011-10-24	IP316	CN	good#2 full#6
890	1129977	a	1	0	0.875	0	2011-10-24	IP316	CN	good#3
891	1983162	a	1	0	1	0	2011-10-24	IP316	CN	respectable#2 honorable#4 good#4 estimable#2
892	64787	a	0.625	0	0.625	0	2011-10-24	IP316	CN	good#5 beneficial#1
893	1586752	a	1	0	1	0	2011-10-24	IP316	CN	good#6
894	57388	r	0	0	0	0	2011-10-24	IP316	CN	thoroughly#2 soundly#2 good#2
895	11093	r	0.375	0	0.375	0	2011-10-24	IP316	CN	well#1 good#1
896	3076708	n	0	0	0	0	2011-10-24	IP316	CN	trade_good#1 good#4 commodity#1
897	5142180	n	0.625	0	0.625	0	2011-10-24	IP316	CN	goodness#1 good#3
898	4849241	n	0.875	0	0.875	0	2011-10-24	IP316	CN	goodness#2 good#2
899	5159725	n	0.5	0	0.5	0	2011-10-24	IP316	CN	good#1
900	775611	a	0.75	0	0.75	0	2011-10-24	IP316	CN	good#21
901	1068306	a	0.375	0.125	0.375	0.125	2011-10-24	IP316	CN	unspoilt#1 unspoiled#1 undecomposed#1 good#20
902	1116026	a	0.5	0	0.5	0	2011-10-24	IP316	CN	honest#6 good#19
903	1166413	a	0.875	0	0.875	0	2011-10-24	IP316	CN	salutary#1 good#18
904	1333477	a	0.75	0	0.75	0	2011-10-24	IP316	CN	serious#4 good#16
905	1171213	a	0.75	0	0.75	0	2011-10-24	IP316	CN	sound#4 good#17
906	1808329	a	0.625	0	0.625	0	2011-10-24	IP316	CN	good#15
907	832784	a	0	0	0	0	2011-10-24	IP316	CN	in_force#1 in_effect#1 good#14 effective#4
908	1048762	a	0.625	0	0.625	0	2011-10-24	IP316	CN	well#2 good#13
909	1661289	a	0.375	0	0.375	0	2011-10-24	IP316	CN	ripe#3 right#13 good#12
910	2273643	a	0.5	0	0.5	0	2011-10-24	IP316	CN	secure#5 safe#4 good#11 dependable#4
911	452883	a	0.5	0	0.5	0	2011-10-24	IP316	CN	near#5 good#10 dear#2
912	2036934	a	0.75	0	0.75	0	2011-10-24	IP316	CN	upright#2 just#4 good#7
913	2226162	a	0.625	0	0.625	0	2011-10-24	IP316	CN	skillful#1 skilful#1 proficient#1 practiced#1 good#8 expert#1 adept#1
914	523364	a	0.625	0	0.625	0	2011-10-24	IP316	CN	good#9
915	107987	r	0	0	0	0	2011-10-24	IP317	IT	step_by_step#1 gradually#1 bit_by_bit#2
916	724150	v	0.125	0	0.125	0	2011-10-24	IP318	IT	set_aside#1 reserve#2 earmark#1 appropriate#1 allow#4
917	7648036	n	0	0	0	0	2011-10-24	IP318	IT	turkey_leg#1 turkey_drumstick#1
918	514080	r	0	0.375	0	0.375	2011-10-24	IP318	IT	irreparably#1
919	10173771	n	0	0	0	0	2011-10-24	IP318	IT	herr#1
920	94240	n	0	0	0	0	2011-10-24	IP318	IT	remittal#3 remission_of_sin#1 remission#4 absolution#2
921	599613	v	0.5	0	0.5	0	2011-10-24	IP318	IT	wise_up#1
922	222969	a	0	0	0	0	2011-10-24	IP318	IT	banded#1
923	11788382	n	0	0.125	0	0.125	2011-10-24	IP319	ES	green_dragon#1 dragon_arum#1 dracunculus_vulgaris#1
924	9547111	n	0.125	0.125	0.125	0.125	2011-10-24	IP320	xx	spectre#1 specter#2 phantom#1 phantasma#1 phantasm#1 fantasm#1 apparition#1
925	4260364	n	0	0	0	0	2011-10-24	IP320	xx	sonogram#1 echogram#1
926	1823574	a	0	0.75	0	0.75	2011-10-24	IP321	xx	unworkable#1 unfeasible#1 infeasible#1 impracticable#1
927	1123148	a	0.75	0	0.75	0	2011-10-25	IP322	BR	good#1
928	2036934	a	0.75	0	0	1	2011-10-25	IP323	BR	upright#2 just#4 good#7
929	1129977	a	1	0	1	0	2011-10-25	IP323	BR	good#3
930	6835951	n	0	0	1	0	2011-10-26	IP324	IN	sigma#1
931	65488	a	0.75	0.25	0.75	0.25	2011-10-26	IP325	GB	disadvantageous#1
932	14503354	n	0	0	0	0	2011-10-27	IP326	AU	regression#1 infantile_fixation#1 fixation#1 arrested_development#1
933	3543603	n	0	0	0	0	2011-10-27	IP326	AU	hot_tub#1
934	4236001	n	0	0	0.625	0.125	2011-10-27	IP327	IN	wagon-lit#1 sleeping_car#1 sleeper#5
935	3212535	n	0	0	0	0	2011-10-27	IP327	IN	distemper#4
936	201893	r	0	0	0	0	2011-10-27	IP327	IN	inanely#1 fatuously#1
937	11921200	n	0	0	0	0	2011-10-27	IP327	IN	genus_anaphalis#1 anaphalis#1
938	1360899	v	0	0	1	0	2011-10-27	IP327	IN	plaster#5 daub#1
939	11790936	n	0	0	0	0	2011-10-27	IP327	IN	tuckahoe#1 peltandra_virginica#1 green_arrow_arum#1
940	9559201	n	0	0	0	0	2011-11-07	IP328	RU	asklepios#1 asclepius#1 aesculapius#1
941	749230	a	0.625	0.25	0.625	0.25	2011-11-07	IP329	IT	easy#1
942	12981791	n	0	0.5	0	0.5	2011-11-08	IP330	DK	genus_albugo#1 albugo#1
943	9433952	n	0.125	0	0.125	0	2011-11-08	IP330	DK	shortener#1
944	2606070	a	0	0	0	0	2011-11-08	IP330	DK	adrenocortical#1
945	2079005	n	0	0	0	0	2011-11-08	IP330	DK	steller_sea_lion#1 steller&#039;s_sea_lion#1 eumetopias_jubatus#1
946	4569983	n	0	0	0	0	2011-11-08	IP330	DK	wedge_heel#1 wedge#4
947	14410605	n	0	0.625	0	0.625	2011-11-08	IP330	DK	problem#1 job#8
948	6784003	n	0	0	0	0	2011-11-08	IP330	DK	problem#2
949	7649342	n	0	0	0.375	0	2011-11-09	IP310	MT	oyster#3
950	2929923	n	0	0	0	0.375	2011-11-09	IP331	BE	v-1#1 robot_bomb#1 flying_bomb#1 doodlebug#2 buzz_bomb#1
951	394242	n	0	0	0	0	2011-11-09	IP331	BE	autotomy#1
952	13585819	n	0	0	0	0	2011-11-09	IP331	BE	avogadro_number#1 avogadro&#039;s_number#1
953	5042871	n	0	0.875	0	0.875	2011-11-09	IP332	xx	vulnerability#2
954	2996703	n	0	0	0.125	0	2011-11-09	IP332	xx	cephaloridine#1
955	2064537	a	0	0	0.5	0.5	2011-11-10	IP333	CN	synoptical#1 synoptic#2
956	2227772	a	0.625	0	0.625	0	2011-11-10	IP334	BE	sure-handed#1
957	213524	r	0.75	0	0.75	0	2011-11-10	IP334	BE	impressively#1 imposingly#1
958	732037	a	0	0.5	0.25	0.25	2011-11-10	IP334	BE	nonaligned#1
959	2509484	a	0.125	0.25	0.125	0.25	2011-11-10	IP335	CN	unaired#1 stuffy#1 close#8 airless#1
960	10684827	n	0.25	0.375	0.25	0.375	2011-11-11	IP336	PK	toady#1 sycophant#1 lackey#2 crawler#1 ass-kisser#1
961	12026764	n	0	0	0	0	2011-11-11	IP337	xx	tragopogon#1 genus_tragopogon#1
962	33406	v	0.125	0	0.125	0	2011-11-11	IP337	xx	stare#2
963	10128519	n	0	0	0.375	0	2011-11-11	IP338	IN	geophysicist#1
964	3948347	n	0	0	0	0	2011-11-11	IP339	VE	piste#1
965	3948347	n	0	0	0	0	2011-11-11	IP339	VE	piste#1
966	9326467	n	0	0	0.5	0	2011-11-13	IP340	xx	klamath_river#1 klamath#1
967	10637038	n	0.5	0.125	0.5	0.125	2011-11-14	IP341	xx	spiv#1
968	2343110	a	1	0	1	0	2011-11-14	IP342	PK	splendid#2 first-class#1 fantabulous#1 excellent#1
969	8854855	n	0	0	0	0	2011-11-15	IP343	IN	st._mary_of_bethlehem#1 santa_maria_de_belem#1 para#5 feliz_lusitania#1 belem#1
970	12611243	n	0	0	0	0	2011-11-16	IP344	IN	najadaceae#1 naiadaceae#1 naiad_family#1 family_najadaceae#1 family_naiadaceae#1
971	2190963	n	0	0	0	0	2011-11-16	IP345	CH	glossinidae#1 family_glossinidae#1
972	8283649	n	0	0	0	0	2011-11-17	IP334	BE	school_of_music#1 music_school#1
973	7193596	n	0.125	0.25	0.125	0.25	2011-11-17	IP334	BE	question#1 query#1 interrogation#4 inquiry#2 enquiry#1
974	1110819	a	0	0	0	0	2011-11-17	IP334	BE	trademarked#1
975	1163860	a	0.5	0.25	0.5	0.25	2011-11-17	IP334	BE	pure#4
976	8792295	n	0	0	0	1	2011-11-21	IP346	ID	israel#2
977	8792295	n	0	0	0	0	2011-11-21	IP346	ID	israel#2
978	8547143	n	0	0	0.375	0	2011-11-21	IP330	DK	county_seat#1 county_courthouse#1
979	1250121	a	0	0.125	0.25	0.125	2011-11-22	IP347	RU	sultry#2 sulphurous#3 sulfurous#3 stifling#1
980	9992538	n	0.125	0.25	0.125	0.25	2011-11-22	IP347	RU	escort#4 date#2
981	10162991	n	0	0	0.25	0.125	2011-11-22	IP347	RU	top_dog#1 head#4 chief#1
982	2527651	v	0	0.75	0	0.75	2011-11-23	IP348	xx	spoil#1 screw_up#2 muff#2 muck_up#1 mishandle#1 mess_up#1 louse_up#1 fumble#4 fuck_up#1 foul_up#1 fluff#1 flub#1 bungle#1 bumble#1 botch_up#1 botch#1 bollocks_up#1 bollocks#1 bollix_up#1 bollix#1 bodge#1 bobble#1 blow#7 ball_up#1
983	789988	a	0	1	0	0	2011-11-24	IP349	SG	henpecked#1 dominated#2
984	789988	a	0	1	0	1	2011-11-24	IP349	SG	henpecked#1 dominated#2
985	7489925	n	0.375	0.25	0	1	2011-11-24	IP37	xx	nymphomania#1
986	10278128	n	0.875	0	0.875	0	2011-11-24	IP37	xx	mummy#1 mum#2 mommy#1 momma#1 mom#1 mammy#2 mamma#1 mama#1 ma#1
987	1891773	a	0	0.75	0.25	0.375	2011-11-25	IP350	xx	vain#1 swollen-headed#1 swollen#1 self-conceited#1 egotistical#2 egotistic#2 conceited#1
988	9038439	n	0	0	0	0	2011-11-25	IP350	xx	susah#1 susa#1 sousse#1
989	12023407	n	0	0	0	0	2011-11-25	IP350	xx	tanacetum_ptarmiciflorum#1 silver_lace#1 silver-lace#1 dusty_miller#1 chrysanthemum_ptarmiciflorum#1
990	12023407	n	0	0	0	0	2011-11-25	IP350	xx	tanacetum_ptarmiciflorum#1 silver_lace#1 silver-lace#1 dusty_miller#1 chrysanthemum_ptarmiciflorum#1
991	12023407	n	0	0	0	0	2011-11-25	IP350	xx	tanacetum_ptarmiciflorum#1 silver_lace#1 silver-lace#1 dusty_miller#1 chrysanthemum_ptarmiciflorum#1
992	6386156	n	0	0	0	0.5	2011-11-25	IP350	xx	heroic_verse#1 heroic_meter#1 heroic#1
993	24279	v	0.25	0	0.25	0	2011-11-25	IP350	xx	vivify#1 revivify#1 revive#2 repair#5 renovate#3 recreate#1 reanimate#1 quicken#5 animate#4
994	1543632	n	0	0	0	0	2011-11-25	IP350	xx	ricebird#2 padda_oryzivora#1 java_sparrow#1 java_finch#1
995	2189108	a	0	0	0	0.75	2011-11-25	IP350	xx	xxviii#1 twenty-eight#1 28#1
996	13224673	n	0	0	0	0.625	2011-11-25	IP350	xx	spikemoss#1 spike_moss#1 little_club_moss#1
997	2000288	v	0	1	0	1	2011-11-26	IP351	xx	mislead#1 misguide#1 misdirect#2 lead_astray#2
998	14178794	n	0	0	0.375	0.375	2011-11-28	IP352	IN	paronychia#1
999	1523520	v	0	0	0	0	2011-11-28	IP353	JP	unreel#1 reel_off#1
1000	4395332	n	0	0	0	0	2011-11-28	IP353	JP	tasset#1 tasse#1
1001	13909752	n	0	0	0	0	2011-12-02	IP354	HR	hypocycloid#1
1002	594621	v	0	0	0.375	0.375	2011-12-05	IP355	NL	know#1 cognize#1 cognise#1
1003	184802	n	0	0.75	0	0.75	2011-12-05	IP355	NL	multiple_voting#1
1004	7676121	n	0	0	0.5	0.125	2011-12-05	IP355	NL	blood_sausage#1 blood_pudding#1 black_pudding#1
1005	2859443	n	0	0	0	0	2011-12-05	IP355	NL	boathouse#1
1006	7676121	n	0	0	0.5	0.125	2011-12-05	IP355	NL	blood_sausage#1 blood_pudding#1 black_pudding#1
1007	1735252	a	0.25	0.25	0.25	0.25	2011-12-05	IP355	NL	motherlike#1
1008	1935395	n	0	0	0	0.375	2011-12-05	IP355	NL	wiggler#3 red_worm#1 nightwalker#1 nightcrawler#1 fishworm#1 fishing_worm#1 earthworm#1 dew_worm#1 crawler#3 angleworm#1
1009	2848388	a	0.125	0	0.375	0	2011-12-05	IP355	NL	fiduciary#1 fiducial#1
1010	5866653	n	0	0	0.625	0.375	2011-12-05	IP355	NL	point_of_intersection#1 intersection_point#1 intersection#1
